Wall time,Step,Value
1766910016.073571,1938,1.750711441040039
1766910033.9391801,1944,1.7510770559310913
1766910042.9448352,1947,1.7517729997634888
1766910048.7557461,1949,1.7507553100585938
1766910057.586217,1952,1.7483785152435303
1766910066.260847,1955,1.7484668493270874
1766910075.013682,1958,1.7460839748382568
1766910101.6186612,1967,1.747283935546875
1766910107.4664462,1969,1.7492616176605225
1766910142.5663621,1981,1.7437461614608765
1766910145.618138,1982,1.7435671091079712
1766910148.750784,1983,1.7445968389511108
1766910183.541624,1997,1.7485133409500122
1766910193.586196,2001,1.7485088109970093
1766910203.508644,2005,1.7467142343521118
1766910214.3284721,2009,1.7492311000823975
1766910216.747336,2010,1.748965859413147
1766910224.043961,2013,1.751950979232788
1766910228.9383721,2015,1.7518962621688843
1766910233.805521,2017,1.7523024082183838
1766910253.5870059,2025,1.7518692016601562
1766910258.4853399,2027,1.752158522605896
1766910266.025606,2030,1.751184105873108
1766910273.299607,2033,1.7519292831420898
1766910280.565751,2036,1.7519928216934204
1766910285.5091982,2038,1.753130555152893
1766910293.4201658,2041,1.7507801055908203
1766910300.948437,2044,1.7548227310180664
1766910340.890832,2060,1.7646175622940063
1766910358.276762,2067,1.7656936645507812
1766910370.583049,2072,1.7632766962051392
1766910373.05758,2073,1.7621418237686157
1766910375.4969878,2074,1.7621402740478516
1766910380.3966641,2076,1.7644505500793457
1766910382.849804,2077,1.763896107673645
1766910387.686811,2079,1.7644047737121582
1766910392.607104,2081,1.7638238668441772
1766910402.55685,2085,1.7637628316879272
1766910412.538178,2089,1.7638260126113892
1766910425.380733,2094,1.7638789415359497
1766910430.311747,2096,1.7644973993301392
1766910447.706548,2103,1.7592989206314087
1766910452.672699,2105,1.7575368881225586
1766910455.08028,2106,1.757468819618225
1766910467.502057,2111,1.7519588470458984
1766910477.2939441,2115,1.7503122091293335
1766910489.7069921,2120,1.7493261098861694
1766910494.6827269,2122,1.7514886856079102
1766910497.238322,2123,1.75113844871521
1766910522.887108,2133,1.753217101097107
1766910525.3450701,2134,1.7548681497573853
1766910535.1262112,2138,1.7568016052246094
1766910542.949291,2141,1.756247878074646
1766910550.6761029,2144,1.7567037343978882
1766910553.16857,2145,1.7559738159179688
1766910560.6177752,2148,1.7557681798934937
1766910563.066726,2149,1.7563673257827759
1766910567.99045,2151,1.7576185464859009
1766910580.357975,2156,1.760885238647461
1766910582.81442,2157,1.7608181238174438
1766910600.375533,2164,1.758530616760254
1766910602.840984,2165,1.7574089765548706
1766910612.684923,2169,1.7595447301864624
1766910617.722089,2171,1.7595990896224976
1766910622.601658,2173,1.7601522207260132
1766910632.330428,2177,1.763856291770935
1766910656.746986,2187,1.7637372016906738
1766910661.618838,2189,1.763583779335022
1766910666.491704,2191,1.7636140584945679
1766910669.403945,2192,1.7625113725662231
1766910679.130604,2196,1.759698510169983
1766910686.3957498,2199,1.7608888149261475
1766910705.924531,2207,1.7626302242279053
1766910715.714986,2211,1.7614797353744507
1766910750.228663,2225,1.7670955657958984
1766910761.356877,2229,1.7676969766616821
1766910767.027125,2231,1.7697069644927979
1766910780.967029,2236,1.7696651220321655
1766910783.811743,2237,1.7684175968170166
1766910789.423043,2239,1.7676503658294678
1766910795.094024,2241,1.7656216621398926
1766910797.960714,2242,1.7656456232070923
1766910803.648681,2244,1.7640892267227173
1766910809.3684459,2246,1.7648102045059204
1766910812.150644,2247,1.7645572423934937
1766910830.348212,2254,1.7558317184448242
1766910837.918032,2257,1.7575465440750122
1766910850.2123709,2262,1.7597907781600952
1766910884.510126,2274,1.7520862817764282
1766910895.7515252,2278,1.7545394897460938
1766910904.227019,2281,1.7501046657562256
1766910928.861349,2291,1.7548189163208008
1766910943.342727,2297,1.761068344116211
1766910945.779551,2298,1.7605139017105103
1766910950.620883,2300,1.7612677812576294
1766910958.242184,2303,1.7637733221054077
1766910965.854605,2306,1.763426661491394
1766910968.390549,2307,1.7624696493148804
1766910970.9158762,2308,1.7624095678329468
1766910995.993234,2318,1.766243577003479
1766910998.449589,2319,1.7665525674819946
1766911001.0624661,2320,1.7664015293121338
1766911006.0565069,2322,1.7641197443008423
1766911036.932359,2334,1.7654718160629272
1766911039.379936,2335,1.7652151584625244
1766911041.77968,2336,1.7644784450531006
1766911044.2499719,2337,1.7645422220230103
1766911064.44684,2345,1.7667920589447021
1766911086.302819,2354,1.7691601514816284
1766911127.539524,2371,1.7654567956924438
1766911161.634906,2385,1.7660309076309204
1766911171.447048,2389,1.7667045593261719
1766911173.906573,2390,1.7683817148208618
1766911178.789527,2392,1.7673187255859375
1766911198.289193,2400,1.770511269569397
1766911203.225342,2402,1.7742947340011597
